SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attemps: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attemps: 8 | Possible brute force attack detected
SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:33:50 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:33:50 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:33:52 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:33:52 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:37:01 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:37:01 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:52:08 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:52:08 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:11:30 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:11:30 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:11:30 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address:  10.10.10.10.6 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:11:30 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address:  152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:16:06 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:16:06 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:16:06 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address:  10.10.10.10.6 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:16:06 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address:  152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:17:58 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:17:58 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:17:58 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address:  10.10.10.10.6 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:17:58 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address:  152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:17:58 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 16:22:23 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:22:23 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:22:23 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:22:23 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:22:23 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 16:22:23 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:25:18 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:25:18 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:25:18 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:25:18 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:25:18 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 16:25:18 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:25:18 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:27:10 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:27:10 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:27:10 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:27:10 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:27:10 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 16:27:10 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:27:10 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:27:10 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:33:25 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:33:25 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:33:25 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:33:25 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:33:25 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 16:33:25 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:33:25 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:33:25 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:33:25 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:42:02 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:42:02 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:42:02 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:42:02 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 16:42:24 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 17:23:01 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 17:23:01 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:23:01 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:23:01 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 17:25:50 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 17:25:50 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:25:50 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:25:50 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 17:29:38 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 17:29:38 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:29:38 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:29:38 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 17:30:46 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 17:30:46 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:30:46 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:30:46 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 17:33:33 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 17:33:33 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:33:33 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 17:33:33 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:55:26 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 18:55:27 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 18:55:27 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 18:55:27 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:55:27 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 18:58:10 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 18:58:10 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 18:58:10 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 18:58:10 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 19:52:55 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 19:52:55 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 19:52:55 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: newuser | IP Address: 10.20.30.40 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: livecheck | IP Address: 10.20.30.50 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: anothercheck | IP Address: 0.20.30.44 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: finaltest | IP Address: 10.90.88.77 | Failed attempts: 6 | Possible brute force attack detected
10-09-2026 19:52:55 | HIGH | SECURITY ALERT | Username: highuser | IP Address: 10.1.1.2 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 19:52:55 | CRITICAL | SECURITY ALERT | Username: criticaluser | IP Address: 10.1.1.3 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 19:53:50 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 19:53:50 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 19:53:50 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address: 10.10.10.10 | Failed attempts: 9 | Possible brute force attack detected
10-09-2026 19:53:50 | HIGH | SECURITY ALERT | Username: testuser1 | IP Address: 152.03.45.9 | Failed attempts: 7 | Possible brute force attack detected
10-09-2026 19:53:50 | CRITICAL | SECURITY ALERT | Username: livetester | IP Address: 13.05.70.8 | Failed attempts: 10 | Possible brute force attack detected
10-09-2026 19:53:50 | HIGH | SECURITY ALERT | Username: liveuser | IP Address: 172.16.0.99 | Failed attempts: 7 | Possible brute force attack detected
